Year,Category,Nominee
2010 (83rd),Actor -- Leading Role,Colin Firth
2010 (83rd),Actor -- Supporting Role,Christian Bale
2010 (83rd),Actress -- Leading Role,Natalie Portman
2010 (83rd),Actress -- Supporting Role,Melissa Leo
2010 (83rd),Animated Feature Film,Toy Story 3
2010 (83rd),Art Direction,Alice in Wonderland
2010 (83rd),Cinematography,Inception
2010 (83rd),Costume Design,Alice in Wonderland
2010 (83rd),Directing,The King's Speech
2010 (83rd),Documentary (Feature),Inside Job
2010 (83rd),Documentary (Short Subject),Strangers No More
2010 (83rd),Film Editing,The Social Network
2010 (83rd),Foreign Language Film,In a Better World
2010 (83rd),Makeup,The Wolfman
2010 (83rd),Music (Scoring),The Social Network
2010 (83rd),Music (Song),Toy Story 3
2010 (83rd),Best Picture,The King's Speech
2010 (83rd),Short Film (Animated),The Lost Thing
2010 (83rd),Short Film (Live Action),God of Love
2010 (83rd),Sound,Inception
2010 (83rd),Sound Editing,Inception
2010 (83rd),Visual Effects,Inception
2010 (83rd),Writing,The Social Network
2010 (83rd),Writing,The King's Speech
2010 (83rd),Irving G. Thalberg Memorial Award,Francis Ford Coppola
2009 (82nd),Actor -- Leading Role,Jeff Bridges
2009 (82nd),Actor -- Supporting Role,Christoph Waltz
2009 (82nd),Actress -- Leading Role,Sandra Bullock
2009 (82nd),Actress -- Supporting Role,Mo'Nique
2009 (82nd),Animated Feature Film,Up
2009 (82nd),Art Direction,Avatar
2009 (82nd),Cinematography,Avatar
2009 (82nd),Costume Design,The Young Victoria
2009 (82nd),Directing,The Hurt Locker
2009 (82nd),Documentary (Feature),The Cove
2009 (82nd),Documentary (Short Subject),Music by Prudence
2009 (82nd),Film Editing,The Hurt Locker
2009 (82nd),Foreign Language Film,The Secret in Their Eyes
2009 (82nd),Makeup,Star Trek
2009 (82nd),Music (Scoring),Up
2009 (82nd),Music (Song),Crazy Heart
2009 (82nd),Best Picture,The Hurt Locker
2009 (82nd),Short Film (Animated),Logorama
2009 (82nd),Short Film (Live Action),The New Tenants
2009 (82nd),Sound,The Hurt Locker
2009 (82nd),Sound Editing,The Hurt Locker
2009 (82nd),Visual Effects,Avatar
2009 (82nd),Writing,Precious: Based on the Novel 'Push' by Sapphire
2009 (82nd),Writing,The Hurt Locker
2009 (82nd),Irving G. Thalberg Memorial Award,John Calley
2008 (81st),Actor -- Leading Role,Sean Penn
2008 (81st),Actor -- Supporting Role,Heath Ledger
2008 (81st),Actress -- Leading Role,Kate Winslet
2008 (81st),Actress -- Supporting Role,Penélope Cruz
2008 (81st),Animated Feature Film,WALL-E
2008 (81st),Art Direction,The Curious Case of Benjamin Button
2008 (81st),Cinematography,Slumdog Millionaire
2008 (81st),Costume Design,The Duchess
2008 (81st),Directing,Slumdog Millionaire
2008 (81st),Documentary (Feature),Man on Wire
2008 (81st),Documentary (Short Subject),Smile Pinki
2008 (81st),Film Editing,Slumdog Millionaire
2008 (81st),Foreign Language Film,Departures
2008 (81st),Makeup,The Curious Case of Benjamin Button
2008 (81st),Music (Scoring),Slumdog Millionaire
2008 (81st),Music (Song),Slumdog Millionaire
2008 (81st),Best Picture,Slumdog Millionaire
2008 (81st),Short Film (Animated),La Maison en Petits Cubes
2008 (81st),Short Film (Live Action),Spielzeugland (Toyland)
2008 (81st),Sound,Slumdog Millionaire
2008 (81st),Sound Editing,The Dark Knight
2008 (81st),Visual Effects,The Curious Case of Benjamin Button
2008 (81st),Writing,Slumdog Millionaire
2008 (81st),Writing,Milk
2007 (80th),Actor -- Leading Role,Daniel Day-Lewis
2007 (80th),Actor -- Supporting Role,Javier Bardem
2007 (80th),Actress -- Leading Role,Marion Cotillard
2007 (80th),Actress -- Supporting Role,Tilda Swinton
2007 (80th),Animated Feature Film,Ratatouille
2007 (80th),Art Direction,Sweeney Todd The Demon Barber of Fleet Street
2007 (80th),Cinematography,There Will Be Blood
2007 (80th),Costume Design,Elizabeth: The Golden Age
2007 (80th),Directing,No Country for Old Men
2007 (80th),Documentary (Feature),Taxi to the Dark Side
2007 (80th),Documentary (Short Subject),Freeheld
2007 (80th),Film Editing,The Bourne Ultimatum
2007 (80th),Foreign Language Film,The Counterfeiters
2007 (80th),Makeup,La Vie en Rose
2007 (80th),Music (Scoring),Atonement
2007 (80th),Music (Song),Once
2007 (80th),Best Picture,No Country for Old Men
2007 (80th),Short Film (Animated),Peter & the Wolf
2007 (80th),Short Film (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets)
2007 (80th),Sound,The Bourne Ultimatum
2007 (80th),Sound Editing,The Bourne Ultimatum
2007 (80th),Visual Effects,The Golden Compass
2007 (80th),Writing,No Country for Old Men
2007 (80th),Writing,Juno
2006 (79th),Actor -- Leading Role,Forest Whitaker
2006 (79th),Actor -- Supporting Role,Alan Arkin
2006 (79th),Actress -- Leading Role,Helen Mirren
2006 (79th),Actress -- Supporting Role,Jennifer Hudson
2006 (79th),Animated Feature Film,Happy Feet
2006 (79th),Art Direction,Pan's Labyrinth
2006 (79th),Cinematography,Pan's Labyrinth
2006 (79th),Costume Design,Marie Antoinette
2006 (79th),Directing,The Departed
2006 (79th),Documentary (Feature),An Inconvenient Truth
2006 (79th),Documentary (Short Subject),The Blood of Yingzhou District
2006 (79th),Film Editing,The Departed
2006 (79th),Foreign Language Film,The Lives of Others
2006 (79th),Makeup,Pan's Labyrinth
2006 (79th),Music (Scoring),Babel
2006 (79th),Music (Song),An Inconvenient Truth
2006 (79th),Best Picture,The Departed
2006 (79th),Short Film (Animated),The Danish Poet
2006 (79th),Short Film (Live Action),West Bank Story
2006 (79th),Sound,Dreamgirls
2006 (79th),Sound Editing,Letters from Iwo Jima
2006 (79th),Visual Effects,Pirates of the Caribbean: Dead Man's Chest
2006 (79th),Writing,The Departed
2006 (79th),Writing,Little Miss Sunshine
2005 (78th),Actor -- Leading Role,Philip Seymour Hoffman
2005 (78th),Actor -- Supporting Role,George Clooney
2005 (78th),Actress -- Leading Role,Reese Witherspoon
2005 (78th),Actress -- Supporting Role,Rachel Weisz
2005 (78th),Animated Feature Film,Wallace & Gromit in The Curse of the Were-Rabbit
2005 (78th),Art Direction,Memoirs of a Geisha
2005 (78th),Cinematography,Memoirs of a Geisha
2005 (78th),Costume Design,Memoirs of a Geisha
2005 (78th),Directing,Brokeback Mountain
2005 (78th),Documentary (Feature),March of the Penguins
2005 (78th),Documentary (Short Subject),A Note of Triumph: The Golden Age of Norman Corwin
2005 (78th),Film Editing,Crash
2005 (78th),Foreign Language Film,Tsotsi
2005 (78th),Makeup,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
2005 (78th),Music (Scoring),Brokeback Mountain
2005 (78th),Music (Song),Hustle & Flow
2005 (78th),Best Picture,Crash
2005 (78th),Short Film (Animated),The Moon and the Son: An Imagined Conversation
2005 (78th),Short Film (Live Action),Six Shooter
2005 (78th),Sound,King Kong
2005 (78th),Sound Editing,King Kong
2005 (78th),Visual Effects,King Kong
2005 (78th),Writing,Brokeback Mountain
2005 (78th),Writing,Crash
2004 (77th),Actor -- Leading Role,Jamie Foxx
2004 (77th),Actor -- Supporting Role,Morgan Freeman
2004 (77th),Actress -- Leading Role,Hilary Swank
2004 (77th),Actress -- Supporting Role,Cate Blanchett
2004 (77th),Animated Feature Film,The Incredibles
2004 (77th),Art Direction,The Aviator
2004 (77th),Cinematography,The Aviator
2004 (77th),Costume Design,The Aviator
2004 (77th),Directing,Million Dollar Baby
2004 (77th),Documentary (Feature),Born into Brothels
2004 (77th),Documentary (Short Subject),Mighty Times: The Children's March
2004 (77th),Film Editing,The Aviator
2004 (77th),Foreign Language Film,The Sea Inside
2004 (77th),Makeup,Lemony Snicket's A Series of Unfortunate Events
2004 (77th),Music (Scoring),Finding Neverland
2004 (77th),Music (Song),The Motorcycle Diaries
2004 (77th),Best Picture,Million Dollar Baby
2004 (77th),Short Film (Animated),Ryan
2004 (77th),Short Film (Live Action),Wasp
2004 (77th),Sound,Ray
2004 (77th),Sound Editing,The Incredibles
2004 (77th),Visual Effects,Spider-Man 2
2004 (77th),Writing,Sideways
2004 (77th),Writing,Eternal Sunshine of the Spotless Mind
2003 (76th),Actor -- Leading Role,Sean Penn
2003 (76th),Actor -- Supporting Role,Tim Robbins
2003 (76th),Actress -- Leading Role,Charlize Theron
2003 (76th),Actress -- Supporting Role,Renée Zellweger
2003 (76th),Animated Feature Film,Finding Nemo
2003 (76th),Art Direction,The Lord of the Rings: The Return of the King
2003 (76th),Cinematography,Master and Commander: The Far Side of the World
2003 (76th),Costume Design,The Lord of the Rings: The Return of the King
2003 (76th),Directing,The Lord of the Rings: The Return of the King
2003 (76th),Documentary (Feature),The Fog of War
2003 (76th),Documentary (Short Subject),Chernobyl Heart
2003 (76th),Film Editing,The Lord of the Rings: The Return of the King
2003 (76th),Foreign Language Film,The Barbarian Invasions
2003 (76th),Makeup,The Lord of the Rings: The Return of the King
2003 (76th),Music (Scoring),The Lord of the Rings: The Return of the King
2003 (76th),Music (Song),The Lord of the Rings: The Return of the King
2003 (76th),Best Picture,The Lord of the Rings: The Return of the King
2003 (76th),Short Film (Animated),Harvie Krumpet
2003 (76th),Short Film (Live Action),Two Soldiers
2003 (76th),Sound,The Lord of the Rings: The Return of the King
2003 (76th),Sound Editing,Master and Commander: The Far Side of the World
2003 (76th),Visual Effects,The Lord of the Rings: The Return of the King
2003 (76th),Writing,The Lord of the Rings: The Return of the King
2003 (76th),Writing,Lost in Translation
2002 (75th),Actor -- Leading Role,Adrien Brody
2002 (75th),Actor -- Supporting Role,Chris Cooper
2002 (75th),Actress -- Leading Role,Nicole Kidman
2002 (75th),Actress -- Supporting Role,Catherine Zeta-Jones
2002 (75th),Animated Feature Film,Spirited Away
2002 (75th),Art Direction,Chicago
2002 (75th),Cinematography,Road to Perdition
2002 (75th),Costume Design,Chicago
2002 (75th),Directing,The Pianist
2002 (75th),Documentary (Feature),Bowling for Columbine
2002 (75th),Documentary (Short Subject),Twin Towers
2002 (75th),Film Editing,Chicago
2002 (75th),Foreign Language Film,Nowhere in Africa
2002 (75th),Makeup,Frida
2002 (75th),Music (Scoring),Frida
2002 (75th),Music (Song),8 Mile
2002 (75th),Best Picture,Chicago
2002 (75th),Short Film (Animated),The ChubbChubbs!
2002 (75th),Short Film (Live Action),This Charming Man (Der Er En Yndig Mand)
2002 (75th),Sound,Chicago
2002 (75th),Sound Editing,The Lord of the Rings: The Two Towers
2002 (75th),Visual Effects,The Lord of the Rings: The Two Towers
2002 (75th),Writing,The Pianist
2002 (75th),Writing,Talk to Her
2001 (74th),Actor -- Leading Role,Denzel Washington
2001 (74th),Actor -- Supporting Role,Jim Broadbent
2001 (74th),Actress -- Leading Role,Halle Berry
2001 (74th),Actress -- Supporting Role,Jennifer Connelly
2001 (74th),Animated Feature Film,Shrek
2001 (74th),Art Direction,Moulin Rouge
2001 (74th),Cinematography,The Lord of the Rings: The Fellowship of the Ring
2001 (74th),Costume Design,Moulin Rouge
2001 (74th),Directing,A Beautiful Mind
2001 (74th),Documentary (Feature),Murder on a Sunday Morning
2001 (74th),Documentary (Short Subject),Thoth
2001 (74th),Film Editing,Black Hawk Down
2001 (74th),Foreign Language Film,No Man's Land
2001 (74th),Makeup,The Lord of the Rings: The Fellowship of the Ring
2001 (74th),Music (Scoring),The Lord of the Rings: The Fellowship of the Ring
2001 (74th),Music (Song),"Monsters, Inc."
2001 (74th),Best Picture,A Beautiful Mind
2001 (74th),Short Film (Animated),For the Birds
2001 (74th),Short Film (Live Action),the accountant
2001 (74th),Sound,Black Hawk Down
2001 (74th),Sound Editing,Pearl Harbor
2001 (74th),Visual Effects,The Lord of the Rings: The Fellowship of the Ring
2001 (74th),Writing,A Beautiful Mind
2001 (74th),Writing,Gosford Park
2000 (73rd),Actor -- Leading Role,Russell Crowe
2000 (73rd),Actor -- Supporting Role,Benicio Del Toro
2000 (73rd),Actress -- Leading Role,Julia Roberts
2000 (73rd),Actress -- Supporting Role,Marcia Gay Harden
2000 (73rd),Art Direction,"Crouching Tiger, Hidden Dragon"
2000 (73rd),Cinematography,"Crouching Tiger, Hidden Dragon"
2000 (73rd),Costume Design,Gladiator
2000 (73rd),Directing,Traffic
2000 (73rd),Documentary (Feature),Into the Arms of Strangers: Stories of the Kindertransport
2000 (73rd),Documentary (Short Subject),Big Mama
2000 (73rd),Film Editing,Traffic
2000 (73rd),Foreign Language Film,"Crouching Tiger, Hidden Dragon"
2000 (73rd),Makeup,Dr. Seuss' How the Grinch Stole Christmas
2000 (73rd),Music (Scoring),"Crouching Tiger, Hidden Dragon"
2000 (73rd),Music (Song),Wonder Boys
2000 (73rd),Best Picture,Gladiator
2000 (73rd),Short Film (Animated),Father and Daughter
2000 (73rd),Short Film (Live Action),Quiero Ser (I want to be...)
2000 (73rd),Sound,Gladiator
2000 (73rd),Sound Editing,U-571
2000 (73rd),Visual Effects,Gladiator
2000 (73rd),Writing,Traffic
2000 (73rd),Writing,Almost Famous
2000 (73rd),Irving G. Thalberg Memorial Award,Dino De Laurentiis
1999 (72nd),Actor -- Leading Role,Kevin Spacey
1999 (72nd),Actor -- Supporting Role,Michael Caine
1999 (72nd),Actress -- Leading Role,Hilary Swank
1999 (72nd),Actress -- Supporting Role,Angelina Jolie
1999 (72nd),Art Direction,Sleepy Hollow
1999 (72nd),Cinematography,American Beauty
1999 (72nd),Costume Design,Topsy-Turvy
1999 (72nd),Directing,American Beauty
1999 (72nd),Documentary (Feature),One Day in September
1999 (72nd),Documentary (Short Subject),King Gimp
1999 (72nd),Film Editing,The Matrix
1999 (72nd),Foreign Language Film,All about My Mother
1999 (72nd),Makeup,Topsy-Turvy
1999 (72nd),Music (Scoring),The Red Violin
1999 (72nd),Music (Song),Tarzan
1999 (72nd),Best Picture,American Beauty
1999 (72nd),Short Film (Animated),The Old Man and the Sea
1999 (72nd),Short Film (Live Action),My Mother Dreams the Satan's Disciples in New York
1999 (72nd),Sound,The Matrix
1999 (72nd),Sound Editing,The Matrix
1999 (72nd),Visual Effects,The Matrix
1999 (72nd),Writing,The Cider House Rules
1999 (72nd),Writing,American Beauty
1999 (72nd),Irving G. Thalberg Memorial Award,Warren Beatty
1998 (71st),Actor -- Leading Role,Roberto Benigni
1998 (71st),Actor -- Supporting Role,James Coburn
1998 (71st),Actress -- Leading Role,Gwyneth Paltrow
1998 (71st),Actress -- Supporting Role,Judi Dench
1998 (71st),Art Direction,Shakespeare in Love
1998 (71st),Cinematography,Saving Private Ryan
1998 (71st),Costume Design,Shakespeare in Love
1998 (71st),Directing,Saving Private Ryan
1998 (71st),Documentary (Feature),The Last Days
1998 (71st),Documentary (Short Subject),The Personals: Improvisations on Romance in the Golden Years
1998 (71st),Film Editing,Saving Private Ryan
1998 (71st),Foreign Language Film,Life Is Beautiful
1998 (71st),Makeup,Elizabeth
1998 (71st),Music (Scoring),Life Is Beautiful
1998 (71st),Music (Scoring),Shakespeare in Love
1998 (71st),Music (Song),The Prince of Egypt
1998 (71st),Best Picture,Shakespeare in Love
1998 (71st),Short Film (Animated),Bunny
1998 (71st),Short Film (Live Action),Election Night (Valgaften)
1998 (71st),Sound,Saving Private Ryan
1998 (71st),Sound Editing,Saving Private Ryan
1998 (71st),Visual Effects,What Dreams May Come
1998 (71st),Writing,Gods and Monsters
1998 (71st),Writing,Shakespeare in Love
1998 (71st),Irving G. Thalberg Memorial Award,Norman Jewison
1997 (70th),Actor -- Leading Role,Jack Nicholson
1997 (70th),Actor -- Supporting Role,Robin Williams
1997 (70th),Actress -- Leading Role,Helen Hunt
1997 (70th),Actress -- Supporting Role,Kim Basinger
1997 (70th),Art Direction,Titanic
1997 (70th),Cinematography,Titanic
1997 (70th),Costume Design,Titanic
1997 (70th),Directing,Titanic
1997 (70th),Documentary (Feature),The Long Way Home
1997 (70th),Documentary (Short Subject),A Story of Healing
1997 (70th),Film Editing,Titanic
1997 (70th),Foreign Language Film,Character
1997 (70th),Makeup,Men in Black
1997 (70th),Music (Scoring),Titanic
1997 (70th),Music (Scoring),The Full Monty
1997 (70th),Music (Song),Titanic
1997 (70th),Best Picture,Titanic
1997 (70th),Short Film (Animated),Geri's Game
1997 (70th),Short Film (Live Action),Visas and Virtue
1997 (70th),Sound,Titanic
1997 (70th),Sound Editing,Titanic
1997 (70th),Visual Effects,Titanic
1997 (70th),Writing,L.A. Confidential
1997 (70th),Writing,Good Will Hunting
1996 (69th),Actor -- Leading Role,Geoffrey Rush
1996 (69th),Actor -- Supporting Role,"Cuba Gooding, Jr."
1996 (69th),Actress -- Leading Role,Frances McDormand
1996 (69th),Actress -- Supporting Role,Juliette Binoche
1996 (69th),Art Direction,The English Patient
1996 (69th),Cinematography,The English Patient
1996 (69th),Costume Design,The English Patient
1996 (69th),Directing,The English Patient
1996 (69th),Documentary (Feature),When We Were Kings
1996 (69th),Documentary (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien
1996 (69th),Film Editing,The English Patient
1996 (69th),Foreign Language Film,Kolya
1996 (69th),Makeup,The Nutty Professor
1996 (69th),Music (Scoring),The English Patient
1996 (69th),Music (Scoring),Emma
1996 (69th),Music (Song),Evita
1996 (69th),Best Picture,The English Patient
1996 (69th),Short Film (Animated),Quest
1996 (69th),Short Film (Live Action),Dear Diary
1996 (69th),Sound,The English Patient
1996 (69th),Sound Editing,The Ghost and the Darkness
1996 (69th),Visual Effects,Independence Day
1996 (69th),Writing,Sling Blade
1996 (69th),Writing,Fargo
1996 (69th),Irving G. Thalberg Memorial Award,Saul Zaentz
1995 (68th),Actor -- Leading Role,Nicolas Cage
1995 (68th),Actor -- Supporting Role,Kevin Spacey
1995 (68th),Actress -- Leading Role,Susan Sarandon
1995 (68th),Actress -- Supporting Role,Mira Sorvino
1995 (68th),Animated Feature Film,"To John Lasseter, for his inspired leadership of the Pixar Toy Story team, resulting in the first feature-length computer-animated film."
1995 (68th),Art Direction,Restoration
1995 (68th),Cinematography,Braveheart
1995 (68th),Costume Design,Restoration
1995 (68th),Directing,Braveheart
1995 (68th),Documentary (Feature),Anne Frank Remembered
1995 (68th),Documentary (Short Subject),One Survivor Remembers
1995 (68th),Film Editing,Apollo 13
1995 (68th),Foreign Language Film,Antonia's Line
1995 (68th),Makeup,Braveheart
1995 (68th),Music (Scoring),The Postman (Il Postino)
1995 (68th),Music (Scoring),Pocahontas
1995 (68th),Music (Song),Pocahontas
1995 (68th),Best Picture,Braveheart
1995 (68th),Short Film (Animated),A Close Shave
1995 (68th),Short Film (Live Action),Lieberman in Love
1995 (68th),Sound,Apollo 13
1995 (68th),Sound Editing,Braveheart
1995 (68th),Visual Effects,Babe
1995 (68th),Writing,Sense and Sensibility
1995 (68th),Writing,The Usual Suspects
1994 (67th),Actor -- Leading Role,Tom Hanks
1994 (67th),Actor -- Supporting Role,Martin Landau
1994 (67th),Actress -- Leading Role,Jessica Lange
1994 (67th),Actress -- Supporting Role,Dianne Wiest
1994 (67th),Art Direction,The Madness of King George
1994 (67th),Cinematography,Legends of the Fall
1994 (67th),Costume Design,"The Adventures of Priscilla, Queen of the Desert"
1994 (67th),Directing,Forrest Gump
1994 (67th),Documentary (Feature),Maya Lin: A Strong Clear Vision
1994 (67th),Documentary (Short Subject),A Time for Justice
1994 (67th),Film Editing,Forrest Gump
1994 (67th),Foreign Language Film,Burnt by the Sun
1994 (67th),Makeup,Ed Wood
1994 (67th),Music (Scoring),The Lion King
1994 (67th),Music (Song),The Lion King
1994 (67th),Best Picture,Forrest Gump
1994 (67th),Short Film (Animated),Bob's Birthday
1994 (67th),Short Film (Live Action),Franz Kafka's It's a Wonderful Life
1994 (67th),Short Film (Live Action),Trevor
1994 (67th),Sound,Speed
1994 (67th),Sound Editing,Speed
1994 (67th),Visual Effects,Forrest Gump
1994 (67th),Writing,Forrest Gump
1994 (67th),Writing,Pulp Fiction
1994 (67th),Irving G. Thalberg Memorial Award,Clint Eastwood
1993 (66th),Actor -- Leading Role,Tom Hanks
1993 (66th),Actor -- Supporting Role,Tommy Lee Jones
1993 (66th),Actress -- Leading Role,Holly Hunter
1993 (66th),Actress -- Supporting Role,Anna Paquin
1993 (66th),Art Direction,Schindler's List
1993 (66th),Cinematography,Schindler's List
1993 (66th),Costume Design,The Age of Innocence
1993 (66th),Directing,Schindler's List
1993 (66th),Documentary (Feature),I Am a Promise: The Children of Stanton Elementary School
1993 (66th),Documentary (Short Subject),Defending Our Lives
1993 (66th),Film Editing,Schindler's List
1993 (66th),Foreign Language Film,Belle Epoque
1993 (66th),Makeup,Mrs. Doubtfire
1993 (66th),Music (Scoring),Schindler's List
1993 (66th),Music (Song),Philadelphia
1993 (66th),Best Picture,Schindler's List
1993 (66th),Short Film (Animated),The Wrong Trousers
1993 (66th),Short Film (Live Action),Black Rider (Schwarzfahrer)
1993 (66th),Sound,Jurassic Park
1993 (66th),Sound Editing,Jurassic Park
1993 (66th),Visual Effects,Jurassic Park
1993 (66th),Writing,Schindler's List
1993 (66th),Writing,The Piano
1992 (65th),Actor -- Leading Role,Al Pacino
1992 (65th),Actor -- Supporting Role,Gene Hackman
1992 (65th),Actress -- Leading Role,Emma Thompson
1992 (65th),Actress -- Supporting Role,Marisa Tomei
1992 (65th),Art Direction,Howards End
1992 (65th),Cinematography,A River Runs through It
1992 (65th),Costume Design,Bram Stoker's Dracula
1992 (65th),Directing,Unforgiven
1992 (65th),Documentary (Feature),The Panama Deception
1992 (65th),Documentary (Short Subject),Educating Peter
1992 (65th),Film Editing,Unforgiven
1992 (65th),Foreign Language Film,Indochine
1992 (65th),Makeup,Bram Stoker's Dracula
1992 (65th),Music (Scoring),Aladdin
1992 (65th),Music (Song),Aladdin
1992 (65th),Best Picture,Unforgiven
1992 (65th),Short Film (Animated),Mona Lisa Descending a Staircase
1992 (65th),Short Film (Live Action),Omnibus
1992 (65th),Sound,The Last of the Mohicans
1992 (65th),Sound Editing,Bram Stoker's Dracula
1992 (65th),Visual Effects,Death Becomes Her
1992 (65th),Writing,Howards End
1992 (65th),Writing,The Crying Game
1991 (64th),Actor -- Leading Role,Anthony Hopkins
1991 (64th),Actor -- Supporting Role,Jack Palance
1991 (64th),Actress -- Leading Role,Jodie Foster
1991 (64th),Actress -- Supporting Role,Mercedes Ruehl
1991 (64th),Art Direction,Bugsy
1991 (64th),Cinematography,JFK
1991 (64th),Costume Design,Bugsy
1991 (64th),Directing,The Silence of the Lambs
1991 (64th),Documentary (Feature),In the Shadow of the Stars
1991 (64th),Documentary (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment"
1991 (64th),Film Editing,JFK
1991 (64th),Foreign Language Film,Mediterraneo
1991 (64th),Makeup,Terminator 2: Judgment Day
1991 (64th),Music (Scoring),Beauty and the Beast
1991 (64th),Music (Song),Beauty and the Beast
1991 (64th),Best Picture,The Silence of the Lambs
1991 (64th),Short Film (Animated),Manipulation
1991 (64th),Short Film (Live Action),Session Man
1991 (64th),Sound,Terminator 2: Judgment Day
1991 (64th),Sound Editing,Terminator 2: Judgment Day
1991 (64th),Visual Effects,Terminator 2: Judgment Day
1991 (64th),Writing,The Silence of the Lambs
